,Actual,SARIMAX Temperature Forecast,Lower 95% CI,Upper 95% CI,Observed Berlin Temperature
2020-04-19,47415.69642857143,22905.74805746242,-77659.2151299165,123470.71124484134,8.985714285714286
2020-04-26,50172.416666666664,22542.817240656404,-79976.4603198868,125062.09480119962,11.87142857142857
2020-05-03,48161.90476190476,19079.286627289068,-85391.55705875577,123550.13031333391,12.742857142857144
2020-05-10,49590.77976190476,18789.93337034947,-87638.78400800462,125218.65074870354,12.028571428571428
2020-05-17,50926.97619047619,20473.353858148686,-87913.70060253493,128860.40831883228,9.657142857142857
2020-05-24,47439.642857142855,17672.015588536728,-92678.33781522125,128022.36899229471,14.9
2020-05-31,49527.607142857145,17638.026882769394,-94673.17227581378,129949.22604135257,13.914285714285715
2020-06-07,48776.244047619046,18707.565187706146,-95569.52397054019,132984.6543459525,16.442857142857143
2020-06-14,48219.744047619046,16833.79323870629,-99407.3642358342,133074.95071324677,18.785714285714285
2020-06-21,49813.94642857143,16105.4878831324,-102102.20964039523,134313.18540666002,19.357142857142858
2020-06-28,50480.791666666664,14432.794103360686,-105739.59457460583,134605.1827813272,21.485714285714288
2020-07-05,51458.875,14095.6292355628,-108043.84984191421,136235.10831303982,20.02857142857143
2020-07-12,51252.57738095238,11225.180929771657,-112878.67787034668,135329.03972989,16.385714285714283
2020-07-19,50896.18452380953,9921.953189908229,-116147.67879744162,135991.58517725806,18.357142857142858
2020-07-26,50475.73809523809,10869.703433498558,-117163.3841223827,138902.7909893798,19.057142857142857
2020-08-02,50049.392857142855,9768.261437888266,-120228.80907302427,139765.3319488008,20.62857142857143
2020-08-09,49450.92261904762,7621.433063309503,-124336.89237577743,139579.75850239643,23.52857142857143
2020-08-16,52076.73809523809,5283.12085673865,-128636.69679800846,139202.93851148576,25.228571428571428
2020-08-23,51872.05952380953,5577.264741099111,-130301.22624293667,141455.7557251349,23.485714285714288
2020-08-30,51653.375,4817.890623242858,-133018.82037224082,142654.60161872653,17.757142857142856
2020-09-06,51617.744047619046,4428.627286416409,-135363.50533956557,144220.7599123984,15.985714285714286
2020-09-13,51507.630952380954,3406.8041716062876,-138339.96440722275,145153.57275043533,16.442857142857143
2020-09-20,52181.32738095238,3827.5020172803534,-139870.92322901404,147525.92726357473,17.242857142857144
2020-09-27,53411.93452380953,1839.2337088590166,-143809.7350302365,147488.20244795454,15.014285714285714
2020-10-04,57410.319444444445,-960.1691940281654,-148556.72630747466,146636.38791941834,13.814285714285715
